stockCode,date,open,high,low,close,volume
018260,2020-01-06,191000,192500,190000,190500,64597
018260,2020-01-07,192000,193000,191000,192500,51281
018260,2020-01-08,190500,190500,188000,188500,91742
018260,2020-01-09,189500,192000,189000,192000,91492
018260,2020-01-10,191000,197000,191000,196000,139691
018260,2020-01-13,196000,198000,194500,197500,91808
018260,2020-01-14,197500,198500,196500,198000,71513
018260,2020-01-15,197500,198000,196000,197500,73997
018260,2020-01-16,196500,197500,194500,197000,65021
018260,2020-01-17,197000,199500,196000,199500,93376
018260,2020-01-20,200000,206000,199500,204000,179569
018260,2020-01-21,204500,205000,202000,204000,83022
018260,2020-01-22,204000,206000,202000,206000,83472
018260,2020-01-23,204000,207000,203500,205000,78101
018260,2020-01-28,199500,202500,194500,195000,130785
018260,2020-01-29,196500,198500,192000,198000,125502
018260,2020-01-30,198000,204000,195000,201000,221159
018260,2020-01-31,201000,201500,194000,194000,148197
018260,2020-02-03,190500,194500,190500,191500,132085
018260,2020-02-04,191500,195000,190500,194000,137463
018260,2020-02-05,195500,195500,192000,193000,112312
018260,2020-02-06,195500,200000,194000,200000,109667
018260,2020-02-07,197500,198500,195500,198000,79562
018260,2020-02-10,196000,199000,194500,198500,69634
018260,2020-02-11,199000,201000,197500,199500,108382
018260,2020-02-12,198000,202000,198000,200500,77691
018260,2020-02-13,200500,201500,198000,198000,121745
018260,2020-02-14,196000,201000,195500,200000,77990
018260,2020-02-17,200000,203500,198000,201500,97633
018260,2020-02-18,200500,202000,198500,199000,98236
018260,2020-02-19,201000,201500,197000,199000,84179
018260,2020-02-20,199000,200000,195500,195500,83102
018260,2020-02-21,194500,195000,191500,191500,102180
018260,2020-02-24,187500,187500,181500,182000,177689
018260,2020-02-25,182500,184000,180000,183000,136536
018260,2020-02-26,180000,181000,178500,179500,152177
018260,2020-02-27,179000,179500,171000,173000,175474
018260,2020-02-28,169500,172000,165500,166500,227314
018260,2020-03-02,167000,170500,164500,168000,175676
018260,2020-03-03,173500,174000,168000,169500,128842
018260,2020-03-04,168000,181000,168000,179500,217843
018260,2020-03-05,180500,182000,178000,181000,155810
018260,2020-03-06,177000,178500,175500,178000,128619
018260,2020-03-09,173000,175000,168500,169000,192115
018260,2020-03-10,169000,173000,168500,169500,187060
018260,2020-03-11,169500,171000,164500,166500,163684
018260,2020-03-12,167000,167500,155500,158000,281229
018260,2020-03-13,144000,155000,143500,152000,390416
018260,2020-03-16,153000,156000,148500,148500,144413
018260,2020-03-17,142000,149500,141500,143000,200410
018260,2020-03-18,146000,151500,141000,141000,221415
018260,2020-03-19,144500,147500,132500,139000,312816
018260,2020-03-20,141500,145000,137500,145000,243413
018260,2020-03-23,135500,140000,133500,137000,196608
018260,2020-03-24,141000,146000,137000,146000,201754
018260,2020-03-25,150000,152500,144500,148500,280289
018260,2020-03-26,147000,149000,143000,143500,287659
018260,2020-03-27,149000,149500,141500,146000,231557
018260,2020-03-30,144500,151500,141000,151500,180056
018260,2020-03-31,151500,154000,146500,149500,219481
066570,2020-01-02,71800,72100,71000,71000,284758
066570,2020-01-03,71400,71900,70800,71100,369493
066570,2020-01-06,70300,70500,69600,69900,337026
066570,2020-01-07,69800,70600,69800,70300,265311
066570,2020-01-08,70300,70300,67000,67500,937438
066570,2020-01-09,68100,68300,66100,66600,1565867
066570,2020-01-10,67000,67500,66400,66800,797710
066570,2020-01-13,66900,67000,66200,66600,600906
066570,2020-01-14,67200,69400,67100,68300,1081428
066570,2020-01-15,68800,70000,68600,69600,698052
066570,2020-01-16,69800,70000,68900,69900,440562
066570,2020-01-17,69800,70200,68900,69200,464204
066570,2020-01-20,69600,71700,69400,71200,894609
066570,2020-01-21,71400,71600,70100,70100,379059
066570,2020-01-22,69800,70500,68600,70400,546215
066570,2020-01-23,69600,69700,68600,69000,604024
066570,2020-01-28,66600,67500,66600,67100,729302
066570,2020-01-29,67100,68000,66900,67200,585990
066570,2020-01-30,67000,67800,66900,67200,549972
066570,2020-01-31,67200,67600,65800,65900,697360
066570,2020-02-03,65400,65600,64100,64900,797729
066570,2020-02-04,64400,65400,64400,65100,716163
066570,2020-02-05,65600,65700,64800,65200,657342
066570,2020-02-06,65600,67000,65500,66800,635295
066570,2020-02-07,66700,67400,66500,67300,519466
066570,2020-02-10,67000,67000,66100,67000,364246
066570,2020-02-11,67500,67600,66800,67200,462160
066570,2020-02-12,67000,68300,67000,67900,487071
066570,2020-02-13,68200,68400,67000,67100,699540
066570,2020-02-14,67200,67600,66700,67000,354348
066570,2020-02-17,66900,67300,66000,67000,560384
066570,2020-02-18,67900,70000,67700,68900,1338368
066570,2020-02-19,69300,69400,68000,68800,636116
066570,2020-02-20,68700,69000,66700,67200,677402
066570,2020-02-21,66000,67000,65800,66100,531902
066570,2020-02-24,64800,65000,63100,63300,874557
066570,2020-02-25,62200,63500,62100,63000,956415
066570,2020-02-26,62100,63700,61500,63300,607215
066570,2020-02-27,63000,63600,62000,62400,524379
066570,2020-02-28,61400,61700,60000,60400,932828
066570,2020-03-02,60300,61200,59600,60100,711979
